scenario,iteration,fuzzer_type,algorithm,assignments,cell_loads,vulnerabilities
Low Load,0,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,1,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,0,AI,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,1,AI,utility,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 1.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,0,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,1,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,0,Random,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
Low Load,1,Random,utility,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,0,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,1,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,0,AI,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,1,AI,utility,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 1.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,0,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,1,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,0,Random,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Load,1,Random,utility,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,0,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,1,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,0,AI,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,1,AI,utility,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 1.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,0,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,1,Random,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,0,Random,utility,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0.0, 0.0, 1.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
High Mobility,1,Random,utility,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0]",['QoS Violation: Avg High Prio SINR = -30.00 dB (Threshold: 5.0 dB)']
